file,area_x,area_y,floor_x,floor_y,origin,reason,room_minx,room_miny,room_maxx,room_maxy
house_garage_layout_gpt-5.2_202602050024.json,18,8.2,9,4.1,bottom_left,floor@half (area_objects_list),0,0,18,8.2
IMG_C7B57EF2764E-1_layout_gpt-5.2_202601241621.json,10.5,13.5,,,bottom_left,polygon_min@0,0,0,10.5,13.5
IMG_C7B57EF2764E-1_layout_gpt-5.2_202601241706.json,10.2,13.2,,,bottom_left,polygon_min@0,0,0,10.2,13.2
IMG_C7B57EF2764E-1_layout_gpt-5.2_202601242033.json,11,11.4,,,bottom_left,polygon_min@0,0,0,11,11.4
IMG_C7B57EF2764E-1_layout_gpt-5.2_202601242107.json,12,13,,,bottom_left,polygon_min@0,0,0,12,13
IMG_C7B57EF2764E-1_layout_gpt-5.2_20260127.json,11.5,12,,,bottom_left,polygon_min@0,0,0,11.5,12
img_home_large-768x1090_layout_gpt-5.2_202601211640.json,8.4,11,0,0,center,floor@0,0 (area_objects_list),,,,
img_home_large-768x1090_layout_gpt-5.2_202601222139.json,9,12,0,0,center,floor@0,0 (area_objects_list),,,,
img_home_large-768x1090_layout_gpt-5.2_202601230105.json,7.5,10.6,0,0,center,floor@0,0 (area_objects_list),,,,
img_home_large-768x1090_layout_gpt-5.2_202601231749.json,8,12,0,0,center,floor@0,0 (area_objects_list),,,,
img_home_large-768x1090_layout_gpt-5.2_202601231802.json,8,12.6,,,bottom_left,polygon_min@0,0,0,8,12.6
living_room2_layout_gpt-5.2_202601201616.json,4.8,7.2,0,0,center,floor@0,0 (area_objects_list),,,,
living_room2_layout_gpt-5.2_202601201837.json,4.6,8.2,0,0,center,floor@0,0 (area_objects_list),,,,
living_room2_layout_gpt-5.2_202601201911.json,4.8,9,0,0,center,floor@0,0 (area_objects_list),,,,
living_room2_layout_gpt-5.2_202601202039.json,4.6,8,0,0,center,floor@0,0 (area_objects_list),,,,
living_room2_layout_gpt-5.2_202601202045.json,4.6,7,0,0,center,floor@0,0 (area_objects_list),,,,
living_room2_layout_gpt-5.2_202601202059.json,4.2,7.2,0,0,center,floor@0,0 (area_objects_list),,,,
living_room2_layout_gpt-5.2_202601202112.json,5,9,0,0,center,floor@0,0 (area_objects_list),,,,
living_room2_layout_gpt-5.2_202601202304.json,4.2,8,0,0,center,floor@0,0 (area_objects_list),,,,
living_room2_layout_gpt-5.2_202601202313.json,5,9,0,0,center,floor@0,0 (area_objects_list),,,,
living_room2_layout_gpt-5.2_202601221551.json,4.2,7.5,0,0,center,floor@0,0 (area_objects_list),,,,
living_room2_layout_gpt-5.2_202601221629.json,4.8,8.4,0,0,center,floor@0,0 (area_objects_list),,,,
living_room2_layout_gpt-5.2_202601221717.json,4.2,8,0,0,center,floor@0,0 (area_objects_list),,,,
living_room2_layout_gpt-5.2_202601221736.json,4.6,8.6,0,0,center,floor@0,0 (area_objects_list),,,,
living_room2_layout_gpt-5.2_202601221818.json,4,6.5,0,0,center,floor@0,0 (area_objects_list),,,,
living_room2_layout_gpt-5.2_202601230116.json,5,9,0,0,center,floor@0,0 (area_objects_list),,,,
living_room2_layout_gpt-5.2_202601241651.json,5,9,,,bottom_left,polygon_min@0,0,0,5,9
living_room2_layout_gpt-5.2_202601242353.json,5.2,9.2,,,bottom_left,polygon_min@0,0,0,5.2,9.2
living_room2_layout_gpt-5.2_202601262038.json,5.6,9.2,,,bottom_left,polygon_min@0,0,0,5.6,9.2
living_room2_layout_gpt-5.2_202601291702.json,5.6,8.8,,,bottom_left,polygon_min@0,0,0,5.6,8.8
living_room_layout_gpt-5.2_202601201532.json,10,6,0,0,center,floor@0,0 (area_objects_list),,,,
living_room_layout_gpt-5.2_202601241726.json,9,6,,,bottom_left,polygon_min@0,0,0,9,6
local_test_r0.json,6,6,,,unknown,no_strong_signal,,,,
local_test_r90.json,6,6,,,unknown,no_strong_signal,,,,
Monica's_apartment_gpt-5.2_202601271633.json,17,10.5,,,bottom_left,polygon_min@0,0,0,17,10.5
Monica's_apartment_layout_gpt-5.2_202601291755.json,15,11,,,bottom_left,polygon_min@0,0,0,15,11
two-story_house_1_layout_gpt-5.2_202601291854.json,8.6,11.5,,,bottom_left,polygon_min@0,0,0,8.6,11.5
two-story_house_1_layout_gpt-5.2_202602050052.json,8.5,11.5,4.25,5.75,bottom_left,floor@half (area_objects_list),0,0,8.5,11.5
world_test_r0.json,6,6,,,unknown,no_strong_signal,,,,
