file,ncoords,minx,miny,maxx,maxy,centerx,centery,area_size_X,area_size_Y,class
house_garage_layout_gpt-5.2_202601301619.json,234,0,0,24,10,12,5,24,10,bottom_left
house_garage_layout_gpt-5.2_202602021606.json,0,,,,,,,,,no_coords
house_garage_layout_gpt-5.2_202602031906.json,0,,,,,,,,,no_coords
house_garage_layout_gpt-5.2_202602041410.json,262,0,0,18,8,9,4,18,8,bottom_left
house_garage_layout_gpt-5.2_202602050024.json,252,0,0,18,8.2,9,4.1,18,8.2,bottom_left
IMG_C7B57EF2764E-1_layout_gpt-5.2_202601241621.json,222,0,0,10.5,13.5,5.25,6.75,10.5,13.5,bottom_left
IMG_C7B57EF2764E-1_layout_gpt-5.2_202601241706.json,212,0,0,10.2,13.2,5.1,6.6,10.2,13.2,bottom_left
IMG_C7B57EF2764E-1_layout_gpt-5.2_202601242033.json,176,0,0,11,11.4,5.5,5.7,11,11.4,bottom_left
IMG_C7B57EF2764E-1_layout_gpt-5.2_202601242107.json,230,0,0,12,13,6,6.5,12,13,bottom_left
IMG_C7B57EF2764E-1_layout_gpt-5.2_20260127.json,216,0,0,11.5,12,5.75,6,11.5,12,bottom_left
img_home_large-768x1090_layout_gpt-5.2_202601211640.json,67,-3.85,-5.45,4.15,5.45,0.15,0,8.4,11,other
img_home_large-768x1090_layout_gpt-5.2_202601222139.json,65,-4,-5.1,3.9,5.9,-0.05,0.4,9,12,other
img_home_large-768x1090_layout_gpt-5.2_202601230105.json,73,-3.35,-5.25,3.7,5.2,0.175,-0.025,7.5,10.6,other
img_home_large-768x1090_layout_gpt-5.2_202601231749.json,65,-3.7,-5.95,3.95,5.95,0.125,0,8,12,other
img_home_large-768x1090_layout_gpt-5.2_202601231802.json,166,0,0,8,12.6,4,6.3,8,12.6,bottom_left
living_room2_layout_gpt-5.2_202601201616.json,31,-2.35,-3.05,2.35,3.55,0,0.25,4.8,7.2,other
living_room2_layout_gpt-5.2_202601201837.json,31,-2.25,-3.35,2.25,4.05,0,0.35,4.6,8.2,other
living_room2_layout_gpt-5.2_202601201911.json,31,-2.35,-4.05,2.34,4.44,-0.005,0.195,4.8,9,other
living_room2_layout_gpt-5.2_202601202039.json,33,-2.3,-3.2,2.3,4,0,0.4,4.6,8,other
living_room2_layout_gpt-5.2_202601202045.json,31,-2.25,-3,2.25,3.45,0,0.225,4.6,7,other
living_room2_layout_gpt-5.2_202601202059.json,31,-2.05,-3.1,2.05,3.55,0,0.225,4.2,7.2,other
living_room2_layout_gpt-5.2_202601202112.json,31,-2.475,-4,2.475,4.475,0,0.2375,5,9,other
living_room2_layout_gpt-5.2_202601202304.json,31,-2.025,-3.45,2.05,3.925,0.0125,0.2375,4.2,8,other
living_room2_layout_gpt-5.2_202601202313.json,31,-2.45,-4,2.45,4.45,0,0.225,5,9,other
living_room2_layout_gpt-5.2_202601221551.json,31,-2.05,-3.2,2.05,3.7,0,0.25,4.2,7.5,other
living_room2_layout_gpt-5.2_202601221629.json,31,-2.35,-3.6,2.375,4.15,0.0125,0.275,4.8,8.4,other
living_room2_layout_gpt-5.2_202601221717.json,31,-2.05,-3.35,2.05,3.95,0,0.3,4.2,8,other
living_room2_layout_gpt-5.2_202601221736.json,31,-2.25,-3.95,2.25,4.25,0,0.15,4.6,8.6,other
living_room2_layout_gpt-5.2_202601221818.json,31,-1.95,-2.85,1.95,3.2,0,0.175,4,6.5,other
living_room2_layout_gpt-5.2_202601230116.json,31,-2.45,-4,2.48,4.45,0.015,0.225,5,9,other
living_room2_layout_gpt-5.2_202601241651.json,44,0,0,5,9,2.5,4.5,5,9,bottom_left
living_room2_layout_gpt-5.2_202601242353.json,48,0,0,5.2,9.2,2.6,4.6,5.2,9.2,bottom_left
living_room2_layout_gpt-5.2_202601262038.json,46,0,0,5.6,9.2,2.8,4.6,5.6,9.2,bottom_left
living_room2_layout_gpt-5.2_202601291702.json,46,0,0,5.6,8.8,2.8,4.4,5.6,8.8,bottom_left
living_room_layout_gpt-5.2_202601201532.json,37,-3.6,-3,5,3,0.7,0,10,6,other
living_room_layout_gpt-5.2_202601241726.json,58,0,0,9,6,4.5,3,9,6,bottom_left
local_test_r0.json,2,2,3,2,3,2,3,6,6,other
local_test_r90.json,2,2,3,2,3,2,3,6,6,other
Monica's_apartment_gpt-5.2_202601271633.json,252,0,0,17,10.5,8.5,5.25,17,10.5,bottom_left
Monica's_apartment_layout_gpt-5.2_202601291755.json,232,0,0,15,11,7.5,5.5,15,11,bottom_left
two-story_house_1_layout_gpt-5.2_202601291854.json,196,0,0,8.6,11.5,4.3,5.75,8.6,11.5,bottom_left
two-story_house_1_layout_gpt-5.2_202602050052.json,202,0,0,8.5,11.5,4.25,5.75,8.5,11.5,bottom_left
world_test_r0.json,2,2,3,2,3,2,3,6,6,other
